time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh
2025-09-24 16:00:00+02:00,-2625.0,2625.0,-1782.0,1114.0
2025-09-24 16:15:00+02:00,-2812.5,2812.5,-1879.0,1124.25
2025-09-24 16:30:00+02:00,-3000.0,3000.0,-1976.0,1134.5
2025-09-24 16:45:00+02:00,-3187.5,3187.5,-2073.0,1144.75
2025-09-24 17:00:00+02:00,-3375.0,3375.0,-2170.0,1155.0
2025-09-24 17:15:00+02:00,-3468.75,3468.75,-2267.75,1207.25
2025-09-24 17:30:00+02:00,-3562.5,3562.5,-2365.5,1259.5
2025-09-24 17:45:00+02:00,-3656.25,3656.25,-2463.25,1311.75
2025-09-24 18:00:00+02:00,-3750.0,3750.0,-2561.0,1364.0
2025-09-24 18:15:00+02:00,-3750.0,3750.0,-2493.25,1320.25
2025-09-24 18:30:00+02:00,-3750.0,3750.0,-2425.5,1276.5
2025-09-24 18:45:00+02:00,-3750.0,3750.0,-2357.75,1232.75
2025-09-24 19:00:00+02:00,-3750.0,3750.0,-2290.0,1189.0
2025-09-24 19:15:00+02:00,-3750.0,3750.0,-2264.0,1256.75
2025-09-24 19:30:00+02:00,-3750.0,3750.0,-2238.0,1324.5
2025-09-24 19:45:00+02:00,-3750.0,3750.0,-2212.0,1392.25
2025-09-24 20:00:00+02:00,-3750.0,3750.0,-2186.0,1460.0
2025-09-24 20:15:00+02:00,-3656.25,3656.25,-2142.25,1368.25
2025-09-24 20:30:00+02:00,-3562.5,3562.5,-2098.5,1276.5
2025-09-24 20:45:00+02:00,-3468.75,3468.75,-2054.75,1184.75
2025-09-24 21:00:00+02:00,-3375.0,3375.0,-2011.0,1093.0
2025-09-24 21:15:00+02:00,-3468.75,3468.75,-2172.5,1160.75
2025-09-24 21:30:00+02:00,-3562.5,3562.5,-2334.0,1228.5
2025-09-24 21:45:00+02:00,-3656.25,3656.25,-2495.5,1296.25
2025-09-24 22:00:00+02:00,-3750.0,3750.0,-2657.0,1364.0
2025-09-24 22:15:00+02:00,-3750.0,3750.0,-2444.5,1296.25
2025-09-24 22:30:00+02:00,-3750.0,3750.0,-2232.0,1228.5
2025-09-24 22:45:00+02:00,-3750.0,3750.0,-2019.5,1160.75
2025-09-24 23:00:00+02:00,-3750.0,3750.0,-1807.0,1093.0
2025-09-24 23:15:00+02:00,-3656.25,3656.25,-1680.75,1211.75
2025-09-24 23:30:00+02:00,-3562.5,3562.5,-1554.5,1330.5
2025-09-24 23:45:00+02:00,-3468.75,3468.75,-1428.25,1449.25
2025-09-25 00:00:00+02:00,-3375.0,3375.0,-1302.0,1568.0
2025-09-25 00:15:00+02:00,-3187.5,3187.5,-1471.0,1273.25
2025-09-25 00:30:00+02:00,-3000.0,3000.0,-1640.0,978.5
2025-09-25 00:45:00+02:00,-2812.5,2812.5,-1809.0,683.75
2025-09-25 01:00:00+02:00,-2625.0,2625.0,-1978.0,389.0
2025-09-25 01:15:00+02:00,-2718.75,2718.75,-1886.25,453.5
2025-09-25 01:30:00+02:00,-2812.5,2812.5,-1794.5,518.0
2025-09-25 01:45:00+02:00,-2906.25,2906.25,-1702.75,582.5
2025-09-25 02:00:00+02:00,-3000.0,3000.0,-1611.0,647.0
2025-09-25 02:15:00+02:00,-2906.25,2906.25,-1556.5,603.75
2025-09-25 02:30:00+02:00,-2812.5,2812.5,-1502.0,560.5
2025-09-25 02:45:00+02:00,-2718.75,2718.75,-1447.5,517.25
2025-09-25 03:00:00+02:00,-2625.0,2625.0,-1393.0,474.0
2025-09-25 03:15:00+02:00,-2437.5,2437.5,-1324.0,420.0
2025-09-25 03:30:00+02:00,-2250.0,2250.0,-1255.0,366.0
2025-09-25 03:45:00+02:00,-2062.5,2062.5,-1186.0,312.0
2025-09-25 04:00:00+02:00,-1875.0,1875.0,-1117.0,258.0
2025-09-25 04:15:00+02:00,-1781.25,1781.25,-1063.0,249.5
2025-09-25 04:30:00+02:00,-1687.5,1687.5,-1009.0,241.0
2025-09-25 04:45:00+02:00,-1593.75,1593.75,-955.0,232.5
2025-09-25 05:00:00+02:00,-1500.0,1500.0,-901.0,224.0
2025-09-25 05:15:00+02:00,-1500.0,1500.0,-903.0,222.25
2025-09-25 05:30:00+02:00,-1500.0,1500.0,-905.0,220.5
2025-09-25 05:45:00+02:00,-1500.0,1500.0,-907.0,218.75
2025-09-25 06:00:00+02:00,-1500.0,1500.0,-909.0,217.0
2025-09-25 06:15:00+02:00,-1406.25,1406.25,-962.75,162.75
2025-09-25 06:30:00+02:00,-1312.5,1312.5,-1016.5,108.5
2025-09-25 06:45:00+02:00,-1218.75,1218.75,-1070.25,54.25
2025-09-25 07:00:00+02:00,-1125.0,1125.0,-1124.0,0.0
2025-09-25 07:15:00+02:00,-1125.0,1125.0,-1124.25,0.25
2025-09-25 07:30:00+02:00,-1125.0,1125.0,-1124.5,0.5
2025-09-25 07:45:00+02:00,-1125.0,1125.0,-1124.75,0.75
2025-09-25 08:00:00+02:00,-1125.0,1125.0,-1125.0,1.0
2025-09-25 08:15:00+02:00,-1125.0,1125.0,-1124.75,0.75
2025-09-25 08:30:00+02:00,-1125.0,1125.0,-1124.5,0.5
2025-09-25 08:45:00+02:00,-1125.0,1125.0,-1124.25,0.25
2025-09-25 09:00:00+02:00,-1125.0,1125.0,-1124.0,0.0
2025-09-25 09:15:00+02:00,-1125.0,1125.0,-1124.25,0.25
2025-09-25 09:30:00+02:00,-1125.0,1125.0,-1124.5,0.5
2025-09-25 09:45:00+02:00,-1125.0,1125.0,-1124.75,0.75
2025-09-25 10:00:00+02:00,-1125.0,1125.0,-1125.0,1.0
2025-09-25 10:15:00+02:00,-1125.0,1125.0,-1124.75,0.75
2025-09-25 10:30:00+02:00,-1125.0,1125.0,-1124.5,0.5
2025-09-25 10:45:00+02:00,-1125.0,1125.0,-1124.25,0.25
2025-09-25 11:00:00+02:00,-1125.0,1125.0,-1124.0,0.0
2025-09-25 11:15:00+02:00,-1125.0,1125.0,-1030.5,0.25
2025-09-25 11:30:00+02:00,-1125.0,1125.0,-937.0,0.5
2025-09-25 11:45:00+02:00,-1125.0,1125.0,-843.5,0.75
2025-09-25 12:00:00+02:00,-1125.0,1125.0,-750.0,1.0
2025-09-25 12:15:00+02:00,-1031.25,1031.25,-749.75,0.75
2025-09-25 12:30:00+02:00,-937.5,937.5,-749.5,0.5
2025-09-25 12:45:00+02:00,-843.75,843.75,-749.25,0.25
2025-09-25 13:00:00+02:00,-750.0,750.0,-749.0,0.0
2025-09-25 13:15:00+02:00,-750.0,750.0,-749.25,0.25
2025-09-25 13:30:00+02:00,-750.0,750.0,-749.5,0.5
2025-09-25 13:45:00+02:00,-750.0,750.0,-749.75,0.75
2025-09-25 14:00:00+02:00,-750.0,750.0,-750.0,1.0
2025-09-25 14:15:00+02:00,-843.75,843.75,-801.5,74.0
2025-09-25 14:30:00+02:00,-937.5,937.5,-853.0,147.0
2025-09-25 14:45:00+02:00,-1031.25,1031.25,-904.5,220.0
2025-09-25 15:00:00+02:00,-1125.0,1125.0,-956.0,293.0
2025-09-25 15:15:00+02:00,-1500.0,1500.0,-1203.75,449.75
2025-09-25 15:30:00+02:00,-1875.0,1875.0,-1451.5,606.5
2025-09-25 15:45:00+02:00,-2250.0,2250.0,-1699.25,763.25
2025-09-25 16:00:00+02:00,-2625.0,2625.0,-1947.0,920.0
2025-09-25 16:15:00+02:00,-2625.0,2625.0,-1886.5,859.5
2025-09-25 16:30:00+02:00,-2625.0,2625.0,-1826.0,799.0
2025-09-25 16:45:00+02:00,-2625.0,2625.0,-1765.5,738.5
2025-09-25 17:00:00+02:00,-2625.0,2625.0,-1705.0,678.0
2025-09-25 17:15:00+02:00,-2812.5,2812.5,-1845.0,896.25
2025-09-25 17:30:00+02:00,-3000.0,3000.0,-1985.0,1114.5
2025-09-25 17:45:00+02:00,-3187.5,3187.5,-2125.0,1332.75
2025-09-25 18:00:00+02:00,-3375.0,3375.0,-2265.0,1551.0
2025-09-25 18:15:00+02:00,-3468.75,3468.75,-2215.0,1505.5
2025-09-25 18:30:00+02:00,-3562.5,3562.5,-2165.0,1460.0
2025-09-25 18:45:00+02:00,-3656.25,3656.25,-2115.0,1414.5
2025-09-25 19:00:00+02:00,-3750.0,3750.0,-2065.0,1369.0
2025-09-25 19:15:00+02:00,-3750.0,3750.0,-2050.0,1448.0
2025-09-25 19:30:00+02:00,-3750.0,3750.0,-2035.0,1527.0
2025-09-25 19:45:00+02:00,-3750.0,3750.0,-2020.0,1606.0
2025-09-25 20:00:00+02:00,-3750.0,3750.0,-2005.0,1685.0
2025-09-25 20:15:00+02:00,-3656.25,3656.25,-1926.5,1606.0
2025-09-25 20:30:00+02:00,-3562.5,3562.5,-1848.0,1527.0
2025-09-25 20:45:00+02:00,-3468.75,3468.75,-1769.5,1448.0
2025-09-25 21:00:00+02:00,-3375.0,3375.0,-1691.0,1369.0
2025-09-25 21:15:00+02:00,-3375.0,3375.0,-1769.75,1447.75
2025-09-25 21:30:00+02:00,-3375.0,3375.0,-1848.5,1526.5
2025-09-25 21:45:00+02:00,-3375.0,3375.0,-1927.25,1605.25
